Classificação;Segmento;Faixas de experiência;Dia da Semana;Dia;Mês;Ano;Hora;Descrição;Estado;Dias Perdidos;Dias Debitados;Reabilitado;Dias Perdidos Corrigidos;Agente Causador;Gravidade;Potencial;Grau de Risco;Compromissos (Regra de Ouro);Evento_Crítico_Target
Trajeto com afastamento;Adm;6 meses a 1 ano;Terça- feira;12;12;2023;07:00 - 08:00;Estagiário sogreu queda de moto ao se deslocar para usina;PA;50;0;Não;0;Moto - Queda;Médio;11;Médio;8 - Veículos e Equipamentos Móveis;Não
Trajeto com afastamento;Transmissão;Até 6 meses;Segunda - feira;28;7;2025;06:00 - 07:00;Ao descer da van para registro da frequência, o colaborador pisou em falso e torceu o tornozelo.;PR;6;0;Não;;;Médio;10;Médio;2 - Percepção de Risco;Não
Quase Acidente;Logistica;Até 6 meses;Quinta - feira;7;8;2025;10:00 - 11:00;Durante o deslocamento de rotina da carpintaria em direção ao escritório, acompanhado por outro colaborador da empresa contratada, um empregado terceirizado relatou sentir a presença de um corpo estranho no solado de sua bota de segurança. Ao interromper a caminhada para inspecionar o calçado, identificou visualmente um prego metálico alojado no solado. O colaborador dirigiu-se imediatamente ao setor administrativo e comunicou o ocorrido à supervisão. Após análise visual e tátil do equipamento, foi constatado que o objeto perfurante (prego) havia penetrado o solado de forma horizontal, sem atingir a região plantar ou comprometer a integridade física do trabalhador. ;BA;;;;;Atingido por (pontos agudos ou cortantes);;12;Médio;Outros;Não
Típico com afastamento;Transmissão;Até 6 meses;Sexta-feira;29;7;2022;14:00 - 15:00;Estava realizando o trabalho habitual diário, às 14:00 iniciou o processo de injeção de argamassa em uma estaca quando houve o desacoplamento da mangueira da injetora, atingindo o funcionário que estava próximo a máquina em funcionamento, ao ser atingido o funcionário debruçou sobre o chão onde foram feitos os primeiros socorros pela técnica de segurança  Amanda em seguida o funcionário foi levado imediatamente ao pronto socorro onde foi medicado e foram feitos os exames necessários, raio x.;MS;1;1;Não;;Golpeado por (atingido por objeto em movimento);Médio;4;Alto;2 - Percepção de Risco;Sim
Típico com afastamento;Transmissão;Até 6 meses;Segunda - feira;25;7;2022;14:00 - 15:00;"O mesmo sofreu uma indução durante a retirada indevida de um aterramento durante realização da atividade no 
desligamento programado.";SC;1;1;Não;;Eletricidade;Médio;4;Alto;4 - Eletricidade;Sim
Trajeto com afastamento;Adm;6 meses a 1 ano;Sexta-feira;16;6;2023;07:00 - 08:00;A jovem aprendiz Marielen Alves de Souza que é aluna do curso de eletricista industrial no Senai de Bagé, estava se deslocando para o Senai - Bagé, RS, ás 07h40, de carona em uma moto táxi, quando em frente a escola EMF. Antenor Gonçalves Pereira, um carro que estava estacionado descarregando um aluno na escola, arrancou sem dar sinal e não vendo o motocicleta que vinha sentido Coronel José Otávio a rua Hipólito Ribeiro, colidiu com a motocicleta, a vitima que vinha na carona ao ser atingida sofreu uma queda, segundo ela após a queda desmaiou e acordou somente no Pronto Socorro de Bagé que fica há uns 300 metros do local do acidente de trânsito. ;RS;4;4;Não;0;Moto - Colisão;Alto;5;Alto;8 - Veículos e Equipamentos Móveis;Sim
Típico com afastamento;Geração - Eólica;Até 6 meses;Quarta - feira;22;11;2023;10:00 - 11:00;O empregado terceirizado, contratado pelo segmento de Engenharia, realizava atividade de compactação do solo com soquete manual na subestação de Messias, quando a ferramenta escapou das suas mãos ocasionando um corte no supercílio direito. De imediato, o empregado informou a ocorrência ao Técnico de Segurança da empresa que providenciou o atendimento imediato de primeiros socorros, levando-o ao pronto atendimento na cidade de Messias-AL para avaliação e cuidados médicos.  ;AL;3;0;Não;0;Outros;Baixo;16;Baixo;2 - Percepção de Risco;Não
Típico sem afastamento;Geração - Hidráulica;Até 6 meses;Quarta - feira;3;8;2023;07:00 - 08:00;Durante a atividade de drenagem, ao proceder a descarga do compactador portátil na vala, a alça do equipamento acabou resvalando no rosto do colaborador causando pequeno ferimento no supercílio.;RS;0;;;;Atingido por (pontos agudos ou cortantes);Baixo;15;Baixo;2 - Percepção de Risco;Não
Típico sem afastamento;Transmissão;Até 6 meses;Quinta - feira;20;10;2023;11:00 - 12:00;Trabalhador terceirizado ao iniciar escalada em escada de lance único (Tipo de construção civil), sofreu uma queda junto com a escada pois ela sofreu escorregamento.;MA;;0;Não;0;Escada - Não amarrada;Baixo;11;Médio;3 - Trabalho em Altura;Não
Típico com afastamento;CSC;6 meses a 1 ano;Quinta - feira;4;4;2024;08:00 - 09:00;Acidente com lixadeira de 4” ocasionando pequeno ferimento próximo punho (braço esquerdo) em atividade manutenção predial;MG;10;0;Não;;Ferramenta Manual;Médio;11;Médio;9 - Trabalho a Quente;Não
